class,split,index
DrinkingCoffee,train,0
UsingMirror,train,1
Attentive,train,2
DrinkingCoffee,train,3
UsingRadio,train,4
UsingRadio,train,5
UsingMirror,train,6
UsingMirror,train,7
Attentive,train,8
UsingMirror,train,9
Attentive,train,10
Attentive,train,11
DrinkingCoffee,train,12
Attentive,train,13
Attentive,train,14
DrinkingCoffee,train,15
Attentive,train,16
UsingMirror,train,17
DrinkingCoffee,train,18
Attentive,train,19
Attentive,train,20
UsingRadio,train,21
Attentive,train,22
UsingRadio,train,23
DrinkingCoffee,train,24
UsingMirror,train,25
DrinkingCoffee,train,26
UsingMirror,train,27
UsingRadio,train,28
DrinkingCoffee,train,29
UsingRadio,train,30
DrinkingCoffee,train,31
DrinkingCoffee,train,32
UsingRadio,train,33
UsingRadio,train,34
UsingMirror,train,35
UsingMirror,train,36
UsingMirror,train,37
UsingRadio,train,38
UsingRadio,train,39
Attentive,train,40
UsingRadio,train,41
DrinkingCoffee,train,42
DrinkingCoffee,train,43
UsingRadio,train,44
UsingRadio,train,45
UsingRadio,train,46
UsingRadio,train,47
UsingRadio,train,48
UsingMirror,train,49
Attentive,train,50
DrinkingCoffee,train,51
UsingRadio,train,52
UsingRadio,train,53
DrinkingCoffee,train,54
DrinkingCoffee,train,55
UsingMirror,train,56
UsingMirror,train,57
UsingMirror,train,58
Attentive,train,59
UsingRadio,train,60
UsingMirror,train,61
UsingMirror,train,62
UsingRadio,train,63
UsingRadio,train,64
UsingRadio,train,65
DrinkingCoffee,train,66
UsingRadio,train,67
UsingRadio,train,68
UsingRadio,train,69
UsingMirror,train,70
Attentive,train,71
Attentive,train,72
UsingRadio,train,73
DrinkingCoffee,train,74
Attentive,train,75
DrinkingCoffee,train,76
UsingMirror,train,77
UsingRadio,train,78
Attentive,train,79
Attentive,train,80
DrinkingCoffee,train,81
Attentive,train,82
DrinkingCoffee,train,83
DrinkingCoffee,train,84
Attentive,train,85
Attentive,train,86
Attentive,train,87
